date,unit_nav,cumulative_nav,adjusted_nav,change_pct,id,fid,source,insert_date
2023-12-22,1.161,1.161,1.161,-0.76923077,77935342,1efcf35e914e1b54,10,2026-06-30 11:05:17
2023-12-15,1.17,1.17,1.17,2.36220472,77935341,1efcf35e914e1b54,10,2026-06-30 11:05:17
2023-12-08,1.143,1.143,1.143,-1.9725557500000002,77935340,1efcf35e914e1b54,10,2026-06-30 11:05:17
2023-12-01,1.166,1.166,1.166,0.8650519000000001,77935339,1efcf35e914e1b54,10,2026-06-30 11:05:17
2023-11-24,1.156,1.156,1.156,-0.25884383,77935338,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-11-17,1.159,1.159,1.159,1.39982502,77935337,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-11-10,1.143,1.143,1.143,0.88261253,77935336,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-11-03,1.133,1.133,1.133,0.98039216,77935335,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-10-27,1.122,1.122,1.122,0.0,77935334,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-10-20,1.122,1.122,1.122,-1.31926121,77935333,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-10-13,1.137,1.137,1.137,0.26455026,77935332,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-09-28,1.134,1.134,1.134,0.62111801,77935331,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-09-22,1.127,1.127,1.127,-0.26548673,77935330,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-09-15,1.13,1.13,1.13,-1.22377622,77935329,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-09-08,1.144,1.144,1.144,1.06007067,77935328,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-09-01,1.132,1.132,1.132,1.7985611499999998,77935327,1efcf35e914e1b54,10,2026-06-30 11:05:16
2023-08-25,1.112,1.112,1.112,-0.17953321,77935326,1efcf35e914e1b54,10,2026-06-30 11:05:16
